;show_date;Artist;Title;Album;Year
0;Jan 12. 2023;Deerhunter;Don't Cry;Don't Cry;2010
0;Jan 12. 2023;Radiohead;The Bends;The Best Of;2008
0;Jan 12. 2023;Ty Segall;Imaginary Person;Melted;2010
0;Jan 12. 2023;Guided By Voices;Underwater Explosions;Underwater Explosions;1996
0;Jan 12. 2023;Diet Cig;Maid of the Mist;Swear I'm Good At This;2017
0;Jan 12. 2023;The Exploding Hearts;Modern Kicks;Guitar Romantic;2003
0;Jan 12. 2023;Parquet Courts;Wide Awake;Wide Awake;2018
0;Jan 12. 2023;Vampire Weekend;Obvious Bicycle;Obvious Bicycle;2013
0;Jan 12. 2023;The Brian Jonestown Massacre;The Way It Was;Bringing It All Back Home - Again;2007
0;Jan 12. 2023;Cake;Frank Sinatra;Fashion Nugget;1996
0;Jan 12. 2023;Pavement;Give It A Day;Give It A Day;2006
0;Jan 12. 2023;Cold War Kids;Every Valley Is Not A Lake;Loyalty To Loyalty;2016
0;Jan 12. 2023;The Dead Weather;Will There Be Enough Water?;Horehound;2500
0;Jan 12. 2023;Deer Tick;Standing At The Threshold;Standing At The Threshold;2007
0;Jan 12. 2023;Neutral Milk Hotel;Song Against Sex;On Avery Island;1996
0;Jan 12. 2023;Broken Bells;The Ghost Inside;Broken Bells;2010
0;Jan 12. 2023;Band Of Horses;Cigarettes. Wedding Bands;Cease to Begin;2007
0;Jan 12. 2023;Dr. Dog;These Days;Be The Void;2012
0;Jan 12. 2023;Matthew Sweet;Girlfriend;Girlfriend (Legacy Edition);2003
0;Jan 12. 2023;Talking Heads;Psycho Killer (Remastered Album Version );The Best Of Talking Heads;2004
0;Jan 12. 2023;Vivian Girls;I Believe In Nothing;Vivian Girls;2008
0;Jan 12. 2023;Arcade Fire;The Well and the Lighthouse;Neon Bible;2017
0;Jan 12. 2023;Limes;Under My Head;Tarantula! / Blue Blood;2011
0;Jan 12. 2023;Father John Misty;I'm Writing a Novel;Fear Fun;2012
0;Jan 12. 2023;King Khan & The Shrines;Born to Die;Idle No More;2013
0;Jan 12. 2023;Courtney Barnett;History Eraser;The Double EP: A Sea of Split Peas;2013
0;Jan 12. 2023;MGMT;Electric Feel;Oracular Spectacular;2007
0;Jan 12. 2023;Matt and Kim;I'll Take Us Home;I'll Take Us Home;2009
0;Jan 12. 2023;Bass Drum of Death;Crawling After You;Bass Drum of Death;2013
0;Jan 8. 2023 ;Beck;The New Pollution;Odelay;1996
0;Jan 8. 2023 ;Deerhunter;Don't Cry;Don't Cry;2010
0;Jan 8. 2023 ;Radiohead;The Bends;The Bends;1995
0;Jan 8. 2023 ;Ty Segall;Imaginary Person;Melted;2010
0;Jan 8. 2023 ;Guided By Voices;Underwater Explosions;Underwater Explosions;1996
0;Jan 8. 2023 ;Diet Cig;Maid of the Mist;Swear I'm Good At This;2017
0;Jan 8. 2023 ;The Exploding Hearts;Modern Kicks;Guitar Romantic;2003
0;Jan 8. 2023 ;Parquet Courts;Wide Awake;Wide Awake;2018
0;Jan 8. 2023 ;Vampire Weekend;Obvious Bicycle;Obvious Bicycle;2013
0;Jan 8. 2023 ;The Brian Jonestown Massacre;The Way It Was;Bringing It All Back Home - Again;2007
0;Jan 8. 2023 ;Cake;Frank Sinatra;Fashion Nugget;1996
0;Jan 8. 2023 ;Pavement;Give It A Day;Give It A Day;2006
0;Jan 8. 2023 ;Cold War Kids;Every Valley Is Not A Lake;Loyalty To Loyalty;2016
0;Jan 8. 2023 ;The Dead Weather;Will There Be Enough Water?;Will There Be Enough Water?;2009
0;Jan 8. 2023 ;Jay Reatard;Blood Visions;Blood Visions;2009
0;Jan 8. 2023 ;Pixies;Wave Of Mutilation;Death To The Pixies;1997
0;Jan 8. 2023 ;Deer Tick;Standing At The Threshold;Standing At The Threshold;2007
0;Jan 8. 2023 ;Neutral Milk Hotel;Song Against Sex;On Avery Island;1996
0;Jan 8. 2023 ;Broken Bells;The Ghost Inside;Broken Bells;2010
0;Jan 8. 2023 ;Band Of Horses;Cigarettes. Wedding Bands;Cease to Begin;2007
0;Jan 8. 2023 ;Dr. Dog;These Days;Be The Void;2012
0;Jan 8. 2023 ;Black Lips;Boys In The Wood;Boys in the Wood;2014
0;Jan 8. 2023 ;Matthew Sweet;Girlfriend;Girlfriend (Legacy Edition);2003
0;Jan 8. 2023 ;Talking Heads;Psycho Killer (Remastered Album Version );The Best Of Talking Heads;2004
0;Jan 8. 2023 ;Vivian Girls;I Believe In Nothing;Vivian Girls;2008
0;Jan 8. 2023 ;Arcade Fire;The Well and the Lighthouse;Neon Bible;2017
0;Jan 8. 2023 ;Limes;Under My Head;Tarantula! / Blue Blood;2011
0;Jan 8. 2023 ;Father John Misty;I'm Writing a Novel;Fear Fun;2012
0;Jan 8. 2023 ;King Khan & the Shrines;Born to Die;Idle No More;2013
0;Jan 8. 2023 ;Courtney Barnett;History Eraser;The Double EP: A Sea of Split Peas;2013
0;Jan 8. 2023 ;MGMT;Electric Feel;Oracular Spectacular;2007
0;Jan 8. 2023 ;Bass Drum of Death;Crawling After You;Bass Drum of Death;2013
0;Jan 8. 2023 ;Matt and Kim;I'll Take Us Home;I'll Take Us Home;2009
0;Jan 5. 2023 ;Beck;Elevator Music;The Information;2006
0;Jan 5. 2023 ;Beach Bunny;Dream Boy;Dream Boy;2019
0;Jan 5. 2023 ;Sylvan Esso;Radio;Indie Summer;2019
